year,Annual,DJFM,DJF,MAM,JJA,SON,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1797,0.013,-0.242,-0.106,-0.227,0.228,-0.167,0.114,0.113,-0.65,-0.386,0.356,-0.432,0.624,0.492,0.111,-0.453,-0.158,0.426
1798,0.104,0.065,0.225,-0.082,0.425,0.178,-0.065,0.313,-0.413,0.287,-0.119,0.087,0.82,0.367,0.29,0.181,0.063,-0.564
1799,-0.163,-0.319,-0.189,-0.343,0.006,0.047,-0.11,0.109,-0.711,-0.318,0,-0.359,0.033,0.344,0.065,0.001,0.074,-1.091
1800,NA,-0.589,-0.576,-0.054,-0.103,NA,-0.133,-0.505,-0.626,0.609,-0.146,-0.747,0.053,0.385,NA,NA,-0.122,-0.38
1801,-0.193,-0.104,-0.228,-0.109,-0.406,-0.226,0.049,-0.354,0.271,-0.457,-0.142,-0.019,-0.724,-0.476,-0.125,-0.077,-0.477,0.216
1802,0.073,NA,NA,-0.058,0.672,-0.334,0.174,NA,-0.382,0.583,-0.373,0.41,0.797,0.809,-0.208,-0.03,-0.764,-0.208
1803,0.162,-0.421,-0.47,0.321,0.63,-0.007,-1.177,-0.026,-0.274,0.745,0.492,0.851,0.336,0.703,0.067,-0.124,0.034,0.32
1804,0.172,0.148,0.235,0.287,0.316,0.156,0.421,-0.037,-0.113,0.004,0.97,1.011,-0.658,0.595,0.371,0.254,-0.156,-0.601
1805,0.061,-0.286,-0.339,-0.054,0.539,-0.172,-0.512,0.097,-0.126,-0.01,-0.025,0.532,0.296,0.789,0.417,-0.719,-0.214,0.211
1806,0.056,0.141,0.296,-0.428,0.237,-0.023,0.37,0.307,-0.325,-0.485,-0.473,0.554,-0.158,0.315,-0.008,-0.349,0.289,0.632
1807,-0.088,-0.197,0.124,-0.362,0.158,-0.077,-0.29,0.032,-1.162,-0.162,0.238,0.14,-0.119,0.451,-0.186,0.075,-0.12,0.042
1808,-0.03,-0.22,0.026,0.158,0.158,-0.305,0.078,-0.041,-0.959,0.659,0.772,0.165,0.562,-0.254,-0.637,0.075,-0.353,-0.424
1809,0.156,-0.149,-0.038,-0.022,0.411,-0.01,-0.221,0.531,-0.482,-0.155,0.57,0.556,-0.411,1.088,0.526,-0.166,-0.389,0.431
1810,0.013,0.112,0.168,-0.279,0.453,-0.213,-0.156,0.229,-0.056,-0.027,-0.755,-0.034,0.465,0.93,-0.268,-0.237,-0.134,0.202
1811,0.057,0.041,0.056,0.342,0.307,-0.403,-0.409,0.375,-0.004,0.253,0.778,0.18,0.235,0.505,-1.248,0.092,-0.052,-0.017
1812,-0.209,-0.196,-0.054,-0.37,-0.061,-0.137,-0.421,0.277,-0.624,-0.288,-0.198,0.321,0.013,-0.517,-0.176,0.142,-0.377,-0.658
