year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1851,1017.08,1020.21,1013.12,1013.25,1018.58,1021.42,1014.44,1019.58,1022.12,1016.79,1014.87,1029.42
1852,1016.26,1019.91,1021.06,1018.68,1015.56,1011.53,1016.74,1013.41,1015.59,1014.8,1008.22,1015.19
1853,1012.12,1005.34,1015.37,1014.95,1012.3,1014.44,1017.6,1016.67,1017.89,1011.14,1021.25,1014.31
1854,1014.25,1026.47,1029.66,1020.85,1013.43,1015.05,1017,1020.44,1024.17,1015.55,1012.44,1019.02
1855,1022.95,1007.56,1008.06,1019.99,1011.56,1018.78,1016.14,1019.97,1020.28,1009.95,1017.74,1016.85
1856,1006.71,1021.11,1020.33,1010.09,1011.62,1019.98,1019.23,1014.98,1013.67,1023.31,1019.89,1014.77
1857,1012.26,1023.96,1015.45,1011.82,1014.65,1018.36,1019.77,1017.27,1017.38,1015.05,1020.76,1032.49
1858,1031.22,1016.92,1015.44,1015.73,1016.96,1019.76,1016.72,1017.49,1019.91,1018.57,1013.62,1018.74
1859,1027.74,1020.62,1020.1,1011.02,1012.17,1014.37,1020.2,1016.86,1015.33,1008.53,1018.67,1012.91
1860,1010.29,1018.21,1014.55,1014.31,1014.86,1012.64,1017.29,1011.91,1014.82,1020.81,1012.14,1005.98
1861,1024.1,1014.62,1013.52,1020.04,1018.19,1014.71,1012.57,1020.01,1015.7,1017.53,1012.1,1022.21
1862,1015.97,1019.55,1006.9,1018.65,1014.32,1015.04,1017.15,1015.62,1016.93,1016.92,1014.27,1021.52
1863,1014.83,1029.26,1014.22,1017.28,1016.29,1015.09,1020.25,1015.94,1015.59,1013.36,1021.1,1024.52
1864,1025.84,1015.53,1006.91,1018.83,1016.04,1017.38,1017.84,1019.38,1017.41,1011.21,1012.27,1018.71
1865,1006.23,1015.83,1013.26,1019.5,1015.85,1022.02,1016.64,1014.76,1023.86,1006.94,1015.52,1027.36
1866,1018.55,1012.54,1006.68,1014.02,1015.39,1015.71,1015.44,1013.49,1013.03,1020.02,1019.29,1020.27
1867,1008.86,1023.61,1008.87,1014.51,1013.79,1020.19,1015.38,1017.44,1020.92,1017.38,1025.92,1019.34
1868,1017.09,1024.9,1019.17,1016.66,1017.07,1021.46,1017.16,1015.81,1012.26,1017.44,1017.99,1008.99
1869,1022.65,1021.71,1007.92,1016.33,1010.47,1019.68,1019.73,1021.49,1014.41,1019.37,1017.69,1012.27
1870,1020.12,1011.9,1016.78,1022.06,1020.41,1020.27,1016.73,1014.74,NA,NA,1013.27,1013.5
1871,1012.67,1021.78,1019.82,1013.27,1017.81,1014.35,1014.77,1017.87,1012.92,1017.03,1015.28,1022.56
1872,1009.14,1014.54,1010.36,1014.09,1014.53,1016.14,1014.91,1016.21,1015.33,1009.67,1010.36,1006.72
1873,1013.23,1018.38,1009.95,1014.58,1016.18,1016.27,1017.32,1017.23,1017.45,1014.38,1013.98,1028.44
1874,1023.28,1019.78,1025.16,1013.55,1014.73,1019.01,1017.08,1017.44,1016.93,1016.23,1016.36,1010.2
1875,1019.65,1017.31,1020.66,1017.29,1017.83,1016.01,1015.4,1018.01,1018.6,1010.97,1011.72,1022.11
1876,1026.48,1013.98,1005.81,1013.12,1017.82,1015.72,1019.74,1015.72,1012.78,1014.92,1014.14,1003.8
1877,1015.91,1017.7,1009.65,1008.08,1012.48,1017.52,1016.45,1014.83,1018.25,1019.8,1011.42,1019.96
1878,1024.01,1027.8,1019.11,1010.7,1011.7,1015.29,1017.34,1010.24,1017.78,1011.85,1008.39,1008.86
1879,1016.58,1003.38,1016.34,1006.06,1016.46,1013.62,1013.55,1014.45,1017.04,1020.84,1022.91,1029.17
1880,1030.51,1015.28,1020.62,1013.15,1017.42,1014.48,1015.83,1014.58,1017.7,1013.25,1018.47,1018.45
1881,1012.61,1012.29,1015.06,1012.75,1020.06,1016.71,1018.2,1014.86,1016.25,1016.2,1020.86,1020.62
1882,1032.2,1027.83,1020.18,1011.36,1018.03,1016.22,1015.15,1016.4,1012.53,1012.8,1010.48,1009.4
1883,1017.31,1024.16,1012.62,1015.75,1014.76,1015.78,1014.8,1019.24,1013.43,1018.22,1016.09,1023.5
1884,1025.56,1017.35,1015.76,1009.06,1017.49,1017.59,1016.96,1017.33,1018.38,1020.55,1022.78,1015.33
1885,1015.59,1012.17,1017.86,1009.25,1012.73,1017.03,1021.93,1015.24,1015.75,1009.46,1014.4,1025.62
1886,1008.68,1019.92,1017.1,1013.98,1015.91,1015.63,1016.3,1017.38,1018.5,1012.09,1016.64,1010.66
1887,1020.18,1027.91,1018.98,1015.55,1016.31,1021.83,1018.89,1016.88,1016.45,1020.31,1008.39,1015.26
1888,1026.87,1013.73,1006.39,1013.34,1019.28,1015.31,1012.39,1019.06,1021.1,1020.45,1014.56,1019.51
1889,1023.77,1014.53,1017.55,1009.22,1012.05,1015.81,1016.1,1016.66,1018.7,1010.05,1026.05,1026.15
1890,1020.69,1022.23,1014.64,1010.43,1010.94,1019.5,1015.85,1015.06,1023.73,1022.29,1015.12,1017.1
1891,1023.24,1032.82,1012.58,1015.1,1010.8,1016.96,1016.94,1015.09,1020.17,1012.74,1014.3,1021.92
1892,1014.86,1011.45,1015.57,1015.99,1017.13,1017.86,1016.91,1016.29,1018.89,1009.45,1020.32,1018.52
1893,1020.3,1012.25,1022.92,1019.53,1018.43,1016.85,1015,1019.16,1014.49,1017.06,1016.33,1021.61
1894,1017.04,1023.27,1017.72,1012.77,1014.16,1018.35,1015.43,1016.89,1019.31,1015.55,1019.47,1020.65
1895,1007.3,1017.24,1011.42,1014.36,1018.1,1018.72,1015.62,1017.15,NA,1013.41,1016.25,1012.46
1896,1029.14,1028.59,1013.98,1022.36,1020.8,1015.25,1017.51,1017.53,1012.67,1010.09,1019.41,1011.68
1897,1012.32,1023.4,1011.45,1012.71,1015.03,1017.86,1017.31,1014.43,1018.18,1022.58,1024.47,1019.21
1898,1029.9,1018.03,1011.47,1014.65,1012.42,1016.71,1020.55,1018.33,1020.65,1013.34,1013.38,1024.76
1899,1015.42,1015.92,1020.82,1013.55,1017.53,1017.63,1019.85,1018.92,1014.86,1020.32,1026.23,1015.42
1900,1016.63,1004.46,1015.63,1017.53,1015.38,1015.6,1017.35,1016.07,1021.73,1018.86,1010.21,1019.82
1901,1020.89,1018.84,1009.26,1013.55,1017.17,1018.33,1015.91,1018.77,1014.02,1015.39,1023.27,1009.13
1902,1024.9,1011.71,1014.18,1014.13,1016.42,1014.58,1018.37,1015.66,1019.01,1017.21,1014.39,1021.09
1903,1020.29,1026.29,1016.84,1013.33,1012.87,1015.37,1015.94,1015.9,1018.28,1010.7,1019.54,1010.17
1904,1019,1006.77,1014.64,1016.54,1016.62,1017.59,1017.69,1018.13,1018.29,1020.1,1020.47,1017.16
1905,1028.05,1024.34,1011.68,1012.7,1018.31,1013.94,1018.44,1014.73,1015.74,1018.52,1008.18,1026.29
1906,1019.87,1012,1017.13,1017.54,1012.45,1019.74,1017.72,1018.31,1021.87,1014.26,1015.31,1016.71
1907,1028.57,1018.36,1024,1009.4,1012.82,1015.91,1018.27,1018.85,1019.76,1008.13,1016.96,1012.11
1908,1023.54,1022.03,1014.01,1013.21,1018,1017.67,1017.53,1017.2,1018.36,1020.87,1019.93,1016.74
1909,1023.96,1020.66,1002.75,1017.2,1019.27,1014.74,1016.9,1017.15,1016.93,1013.95,1017.04,1009.52
1910,1016.35,1011.14,1021.21,1012.67,1011.94,1013.44,1013.56,1015.9,1022.05,1016.79,1007.16,1010.92
1911,1027.88,1025.86,1012.58,1017.25,1014.68,1017.36,1020.84,1016.72,1018.99,1014.64,1011.74,1013.71
1912,1016.23,1009.25,1012.11,1020.07,1016.48,1013.57,1014.18,1012.08,1021.13,1016.09,1018.32,1020.58
1913,1013.66,1023.1,1017.08,1011.92,1014.2,1020.71,1017.01,1017.31,1014.86,1013.96,1017.62,1021.73
1914,1022.57,1013.24,1009.2,1019.92,1019.44,1017.01,1014.08,1017.87,1019.88,1016.6,1015,1009.52
1915,1006.98,1008.97,1015.93,1017.88,1014.69,1016.33,1015.99,1017.53,1016.57,1017.27,1014.48,1009.54
1916,1027.31,1011.78,1004.22,1013.45,1014.82,1015.16,1017.85,1015.34,1016.76,1017.18,1013.13,1006.53
1917,1011.73,1020.05,1011.22,1015.03,1014.58,1017.78,1018.5,1011.92,1020.56,1013.21,1022.79,1022.23
1918,1019.39,1026.8,1017.2,1011.62,1016.73,1019.42,1016.43,1018.06,1012.63,1018.02,1019.53,1016.24
1919,1012.07,1009.71,1011.51,1015.85,1017.8,1021.61,1017.5,1018.55,1017.66,1020.69,1009.53,1015.21
1920,1017.73,1025.89,1016.61,1010.31,1019.43,1017.47,1016.54,1019.48,1017.94,1014.59,1021.22,1017.62
1921,1021.04,1024.72,1021.62,1017.67,1014.89,1019.69,1018,1015.03,1020.03,1022.81,1019.29,1021.65
1922,1012.84,1016.95,1011.97,1008.92,1020.88,1016.69,1016.51,1016.02,1016.07,1015.28,1023.98,1015.93
1923,1025.11,1007.94,1016.98,1008.29,1015.3,1021.29,1018.09,1017,1018.81,1012.28,1011.05,1017.46
1924,1017.58,1016.68,1012.22,1013.21,1014.97,1017.69,1015.15,1014.43,1014.23,1015.92,1019.79,1020.65
1925,1028.97,1011.29,1020.42,1012.15,1012.08,1018.97,1014.84,1016.65,1017.62,1015.91,1014.2,1012.79
1926,1016.25,1013.87,1019.29,1012.9,1012.51,1014.77,1017,1019.94,1021.2,1013.35,1008.11,1025.97
1927,1014.81,1020.43,1011.3,1016.19,1017.08,1015.38,1013.87,1015.07,1012.55,1019.73,1016.3,1012.13
1928,1018.9,1023.3,1011,1009.13,1012.1,1016.18,1020.17,1016.43,1019.45,1015.06,1012.48,1019.26
1929,1025.02,1018.89,1026.33,1014.67,1015.9,1017.73,1018.23,1018,1019.84,1013.42,1012.4,1014.07
1930,1013.66,1016.7,1012.68,1008.06,1015.52,1015.7,1013.63,1016.33,1016.03,1014.88,1015.14,1015.43
1931,1015.45,1014.42,1013.13,1012.87,1012.56,1018.47,1013.66,1012.98,1021.17,1021.39,1014,1027.85
1932,1027.64,1028.01,1015.39,1010.88,1013.1,1017.14,1014.44,1019.06,1015.12,1010.6,1020.32,1021.56
1933,1022.39,1017.78,1017.05,1020.26,1015.38,1011.97,1019.55,1018.51,1016.55,1014.08,1012.67,1019.65
1934,1024.71,1029.79,1008.23,1008.69,1019.47,1017.4,1016.94,1014.73,1018.14,1019,1017.38,1008.77
1935,1024.52,1011.77,1021.63,1012.25,1015.78,1015.97,1019.99,1016.28,1016.17,1015.1,1010.79,1006.39
1936,1005.59,1008.06,1011.65,1012.92,1013.54,1016.39,1014.52,1020.18,1017.76,1020.65,1015.46,1024.21
1937,1013.82,1008.12,1005.47,1012.04,1016.47,1018.29,1017.75,1017.69,1014.96,1015.54,1017.19,1012.92
1938,1017.26,1025.32,1027.15,1023.99,1014.94,1019.49,1017.11,1015.54,1017.28,1016.5,1016.25,1013.69
1939,1007.79,1022.18,1016.63,1014.66,1015.73,1015.76,1015.4,1016.81,1018.18,1011.07,1016.38,1017.4
1940,1018.56,1014.01,1015.79,1014.58,1015.17,1017.04,1015.7,1021.73,1017.89,1013.01,1013.42,1022.71
1941,1009.59,1005.61,1013.21,1013.27,1013.97,1018.06,1016.19,1014.57,1022.96,1021.6,1015.66,1026.64
1942,1017.03,1018.14,1013.6,1013.81,1015.26,1019.22,1017.48,1016.77,1016.1,1017.45,1023.58,1018.89
1943,1011.99,1026.09,1019.63,1022.14,1018.53,1021.67,1016.53,1016.87,1017.16,1016.82,1017.43,1023.03
1944,1027.23,1019.03,1020.85,1018.94,1020.59,1015.56,1015.23,1016.38,1019.48,1011.74,1013.37,1017.95
1945,1014.82,1025.72,1028.46,1019.08,1013.39,1019.78,1017.29,1013.62,1019.38,1020.64,1018.46,1013.24
1946,1023.51,1019.79,1015.17,1018.29,1012.15,1017.8,1018.92,1014.79,1017.11,1017.75,1012.58,1017.15
1947,1018.35,1006.16,1006.51,1020.68,1015.32,1016.85,1016.13,1017.43,1019.13,1021.28,1016.96,1017.26
1948,1005.08,1023.14,1028.71,1014.02,1014.36,1016.31,1017.93,1015.21,1019.63,1019.81,1025.25,1021.55
1949,1025.5,1030.53,1021.21,1019.3,1015.62,1020.21,1019.75,1020.42,1017.44,1019.26,1010.96,1017.4
1950,1022.82,1012.74,1021.63,1011.11,1016.45,1017.92,1015.99,1014.58,1015.55,1020.06,1010.81,1010.27
1951,1011.89,1006.79,1009.23,1015.92,1012.61,1016.66,1019.64,1014.23,1017.16,1018.75,1008.37,1019.71
1952,1014.73,1020.77,1011.86,1017.28,1017.22,1019,1019.47,1014.2,1014.97,1014.1,1013.45,1014.28
1953,1022.91,1019.91,1029.23,1013.32,1018.06,1013.37,1016.16,1019.62,1016.83,1019.13,1024.95,1022.28
1954,1019.98,1012.04,1009.51,1022.21,1015.53,1016.18,1016.26,1013.34,1017.15,1018.69,1015.05,1017.82
1955,1010.45,1005.94,1016.21,1023.31,1017.18,1016.73,1017.91,1018.52,1019.14,1016.92,1020.61,1013.74
1956,1014.76,1022.05,1016.38,1014.09,1021.73,1019.78,1016.29,1013.38,1016.62,1022.5,1021.33,1022.29
1957,1024.47,1010.57,1015.95,1019.64,1017.46,1017.06,1015.73,1016.14,1017.1,1020.09,1019.51,1016.79
