year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1770,1019.87,1018.87,1009.55,1009.87,1011.32,1012.05,1015.65,1017.51,1011.82,1009.38,1005.89,1010.98
1771,1010.26,1017.79,1012.44,1019.14,1013.34,1017.11,1018.05,1012.51,1017.37,1015.62,1023.37,1008.56
1772,1008.13,1004.07,1005.83,1014.49,1017.7,1018.58,1018.11,1016.35,1013.25,1015.32,1009.62,1017.04
1773,1014.2,1014.64,1021.08,1015.12,1012.26,1013.9,1016.84,1017.79,1011.29,1016.32,1010.52,1010.05
1774,1006.41,1014.05,1014.25,1012.61,1014.74,1014.96,1018.24,1016.97,1012.45,1024.43,1014.1,1023.79
1775,1014.93,1012.3,1013.66,1020.75,1023.17,1015.77,1014.03,1013.82,1011.39,1015.46,1012.39,1022.5
1776,1011.23,1000.55,1017.92,1021.13,1019.48,1013.88,1015.13,1013.9,1013.74,1019.76,1015.85,1016.3
1777,1013.33,1010.36,1013.17,1019.32,1011.53,1017.17,1014.77,1019.61,1022.09,1013.48,1019.03,1013.98
1778,1011.26,1013.37,1012.66,1012.2,1015.41,1020,1016.34,1023.72,1018.94,1007.9,1009.29,1015.14
1779,1030.63,1028.97,1026.65,1018.43,1015.45,1016.3,1014.97,1020.04,1015.98,1018.56,1007.71,1009.34
1780,1014.27,1019.1,1017.28,1008.43,1017.52,1019.32,1020,1020.29,1013.57,1009.9,1014.92,1030.67
1781,1017.53,1013.32,1025.25,1013.3,1018.09,1011.14,1019.93,1015.09,1013.94,1022.8,1010.26,1013.97
1782,1013.05,1018.16,1009.75,1005.75,1009.24,1020.32,1017.67,1006.96,1015.83,1015.06,1017.02,1023.55
1783,1007.99,1014.36,1011,1024.24,1016.22,1015.59,1019.27,1017.9,1014.89,1018.7,1013.35,1016.03
1784,1012.69,1009.87,1007.85,1009.93,1021.74,1014.26,1015.18,1017.92,1017.24,1020.28,1013.2,1009.48
1785,1011.72,1011.39,1019.66,1023.45,1019.09,1022.58,1013.62,1012.13,1010.61,1016.62,1012.71,1012.03
1786,1008.83,1017.09,1009.95,1014.08,1015.55,1016.2,1018.65,1013.83,1012.37,1018.11,1012.05,1011
1787,1025.86,1015.94,1012.26,1016.58,1015.4,1014.4,1011.62,1017.72,1016.24,1009.18,1012.66,1008.41
1788,1020.04,1005.76,1008.66,1021.74,1019.34,1015.69,1017.15,1016,1013.34,1023.68,1022.75,1017.67
1789,1010.95,1009.06,1009.77,1011.44,1014.2,1012.73,1012.81,1019.7,1014.2,1008.17,1009.27,1014.57
1790,1021.75,1027.86,1027.89,1014.36,1014.82,1019.29,1012.51,1016.89,1018.67,1014.99,1012.84,1015.6
1791,1004.45,1017.66,1026.21,1010.85,1019.21,1015.74,1014.26,1019.77,1021.43,1008.26,1008.48,1007.71
1792,1008.27,1018.83,1011.62,1015.4,1017.92,1015.82,1014,1015.4,1011.37,1011.69,1019.78,1014.17
1793,1020.42,1012.66,1014.03,1015.53,1020.22,1017,1018.5,1016.37,1017.76,1018.29,1012.27,1010.43
1794,1021.67,1014.26,1018.5,1015.48,1017.53,1019.36,1017.08,1014.72,1013.26,1012.62,1010.28,1017.37
1795,1021.16,1006.54,1012.92,1011.8,1024.35,1013.85,1017.47,1016.88,1020.84,1007.23,1015.13,1017.95
1796,1009.54,1012.86,1020.71,1020.27,1009.64,1016.9,1011.11,1020.03,1016.92,1017.1,1013.95,1014.42
1797,1023.18,1030.47,1017.44,1011.07,1013.99,1013.76,1016.67,1013.75,1010.01,1013.6,1017.05,1012.85
1798,1017.78,1023.28,1017.24,1017.47,1018.9,1020.38,1011.32,1020.94,1010.81,1015.41,1005.29,1016.43
1799,1019.74,1009.9,1014.34,1006.69,1013.58,1020.19,1012.12,1012.09,1011.98,1012.34,1015.31,1017.68
1800,1002.73,1015.5,1015.21,1008.25,1013.42,1019.05,1024.84,1019.46,1010.45,1016.16,1008.34,1007.8
1801,1014.4,1011.98,1015.01,1020.84,1012.61,1019.98,1010.43,1019.97,1014.91,1013.31,1010.5,1002.17
1802,1018.4,1011.88,1021.51,1019.93,1019.3,1015.16,1013.38,1019.31,1020.26,1012.27,1007.22,1010.8
1803,1008.61,1015.78,1020.58,1015.19,1017.43,1019.31,1022.36,1019.98,1022.85,1021.47,1002.81,1006.51
1804,1006.22,1021.27,1007.19,1009.72,1016.12,1022.17,1011.87,1015.74,1022.85,1009.04,1014.29,1013.48
1805,1007.02,1014.06,1018.26,1013.5,1015.76,1018.56,1015.88,1015.81,1018.56,1015.67,1028.49,1009.48
1806,1003.68,1014.52,1010.38,1020.39,1015.02,1021.85,1012.08,1013.27,1019.45,1015.06,1011.53,1005.35
1807,1022.19,1012.42,1020.23,1017.07,1012.65,1019.44,1015.94,1015.05,1013.21,1015.29,1003.98,1018.11
